iter	Passed	Remaining
0	8	8461
1	16	8070
2	23	7741
3	31	7802
4	38	7654
5	46	7643
6	53	7588
7	61	7617
8	68	7571
9	75	7431
10	82	7410
11	90	7446
12	97	7416
13	105	7399
14	112	7400
15	119	7379
16	127	7373
17	134	7355
18	143	7409
19	151	7421
20	159	7439
21	167	7445
22	175	7443
23	183	7468
24	191	7454
25	196	7362
26	205	7391
27	213	7396
28	218	7309
29	226	7320
30	234	7325
31	243	7371
32	251	7365
33	258	7348
34	266	7334
35	274	7348
36	282	7351
37	289	7326
38	297	7335
39	305	7332
40	312	7315
41	320	7301
42	328	7304
43	335	7291
44	343	7287
45	350	7263
46	359	7286
47	365	7254
48	373	7244
49	380	7230
50	388	7221
51	395	7211
52	402	7198
53	410	7186
54	417	7172
55	424	7158
56	431	7138
57	438	7124
58	445	7105
59	452	7085
60	459	7073
61	466	7059
62	474	7054
63	482	7050
64	489	7044
65	497	7041
66	506	7051
67	513	7042
68	521	7042
69	528	7024
70	535	7008
71	543	7003
72	551	7000
73	562	7035
74	570	7042
75	578	7036
76	587	7044
77	597	7056
78	604	7050
79	611	7036
80	619	7034
81	627	7025
82	635	7021
83	642	7011
84	650	7000
85	657	6991
86	665	6985
87	673	6981
88	680	6965
89	688	6959
90	695	6949
91	703	6941
92	710	6927
93	717	6920
94	725	6908
95	732	6898
96	740	6891
97	747	6883
98	755	6878
99	764	6878
100	772	6876
101	780	6870
102	787	6861
103	795	6853
104	803	6845
105	810	6838
106	818	6833
107	826	6827
108	834	6821
109	841	6810
110	849	6804
111	857	6796
112	864	6782
113	871	6775
114	879	6765
115	886	6756
116	893	6746
117	901	6738
118	908	6728
119	916	6719
120	923	6709
121	930	6696
122	937	6685
123	945	6676
124	952	6669
125	960	6663
126	968	6659
127	976	6649
128	984	6644
129	991	6636
130	999	6630
131	1006	6618
132	1013	6608
133	1020	6597
134	1027	6585
135	1035	6576
136	1042	6567
137	1049	6557
138	1057	6547
139	1064	6537
140	1071	6529
141	1079	6520
142	1086	6513
143	1094	6507
144	1101	6496
145	1108	6485
146	1116	6476
147	1123	6468
148	1131	6462
149	1138	6451
150	1146	6445
151	1154	6438
152	1161	6432
153	1169	6424
154	1178	6425
155	1186	6419
156	1194	6413
157	1202	6408
158	1210	6402
159	1218	6396
160	1226	6393
161	1233	6382
162	1241	6375
163	1249	6367
164	1257	6361
165	1264	6354
166	1272	6348
167	1281	6348
168	1289	6342
169	1297	6332
170	1304	6325
171	1312	6318
172	1320	6310
173	1328	6304
174	1335	6295
175	1343	6289
176	1351	6281
177	1358	6274
178	1366	6267
179	1374	6261
180	1381	6252
181	1388	6241
182	1398	6244
183	1406	6235
184	1413	6226
185	1420	6216
186	1427	6206
187	1435	6199
188	1442	6189
189	1449	6181
190	1457	6172
191	1465	6166
192	1472	6158
193	1479	6147
194	1487	6141
195	1494	6130
196	1501	6122
197	1509	6115
198	1517	6109
199	1525	6102
200	1532	6093
201	1540	6084
202	1546	6073
203	1553	6063
204	1561	6056
205	1569	6051
206	1578	6047
207	1585	6038
208	1593	6030
209	1600	6022
210	1607	6012
211	1614	6002
212	1622	5994
213	1630	5986
214	1637	5978
215	1644	5968
216	1651	5960
217	1659	5951
218	1666	5944
219	1673	5934
220	1681	5927
221	1689	5919
222	1696	5911
223	1704	5904
224	1711	5896
225	1719	5888
226	1726	5879
227	1734	5872
228	1741	5862
229	1748	5854
230	1755	5843
231	1762	5835
232	1770	5826
233	1778	5822
234	1787	5817
235	1794	5809
236	1802	5802
237	1809	5793
238	1816	5784
239	1823	5774
240	1830	5766
241	1837	5756
242	1844	5747
243	1853	5741
244	1860	5733
245	1867	5724
246	1875	5716
247	1882	5708
248	1889	5699
249	1897	5691
250	1904	5682
251	1911	5674
252	1919	5667
253	1927	5659
254	1935	5653
255	1942	5644
256	1949	5636
257	1956	5627
258	1963	5618
259	1971	5610
260	1979	5603
261	1987	5598
262	1995	5591
263	2003	5584
264	2009	5574
265	2017	5567
266	2025	5559
267	2032	5551
268	2039	5543
269	2047	5536
270	2054	5527
271	2062	5519
272	2069	5511
273	2076	5503
274	2084	5494
275	2090	5484
276	2098	5477
277	2105	5468
278	2113	5460
279	2120	5452
280	2127	5443
281	2134	5434
282	2141	5426
283	2149	5418
284	2159	5418
285	2167	5411
286	2176	5406
287	2184	5401
288	2192	5394
289	2201	5388
290	2209	5383
291	2216	5374
292	2224	5367
293	2234	5364
294	2243	5360
295	2252	5356
296	2261	5352
297	2271	5351
298	2280	5345
299	2288	5340
300	2296	5332
301	2304	5326
302	2313	5321
303	2323	5318
304	2331	5312
305	2340	5307
306	2347	5298
307	2355	5291
308	2362	5283
309	2369	5274
310	2377	5266
311	2385	5260
312	2393	5253
313	2400	5245
314	2408	5237
315	2415	5229
316	2423	5221
317	2430	5212
318	2438	5206
319	2446	5197
320	2453	5189
321	2460	5180
322	2467	5171
323	2474	5162
324	2482	5155
325	2489	5148
326	2497	5139
327	2504	5131
328	2511	5123
329	2518	5113
330	2525	5104
331	2532	5095
332	2539	5086
333	2546	5077
334	2553	5068
335	2560	5060
336	2568	5053
337	2575	5043
338	2582	5036
339	2591	5029
340	2598	5022
341	2606	5014
342	2613	5005
343	2620	4996
344	2627	4989
345	2635	4982
346	2643	4974
347	2650	4966
348	2658	4958
349	2665	4950
350	2671	4939
351	2679	4932
352	2686	4924
353	2694	4916
354	2702	4910
355	2709	4901
356	2717	4895
357	2724	4886
358	2731	4877
359	2739	4870
360	2746	4861
361	2753	4852
362	2760	4843
363	2768	4836
364	2775	4828
365	2783	4821
366	2790	4813
367	2798	4806
368	2805	4798
369	2814	4792
370	2821	4783
371	2828	4775
372	2836	4768
373	2843	4759
374	2851	4751
375	2858	4743
376	2865	4736
377	2873	4728
378	2881	4720
379	2888	4712
380	2895	4704
381	2903	4697
382	2910	4688
383	2918	4681
384	2926	4674
385	2932	4665
386	2940	4657
387	2948	4650
388	2955	4642
389	2962	4634
390	2970	4626
391	2977	4618
392	2985	4611
393	2992	4603
394	3000	4596
395	3007	4587
396	3015	4579
397	3022	4571
398	3029	4563
399	3036	4554
400	3043	4545
401	3050	4537
402	3056	4528
403	3066	4524
404	3075	4517
405	3083	4511
406	3091	4504
407	3100	4498
408	3108	4492
409	3116	4484
410	3125	4478
411	3132	4470
412	3138	4461
413	3146	4453
414	3153	4445
415	3161	4438
416	3170	4432
417	3178	4425
418	3188	4421
419	3197	4415
420	3204	4407
421	3211	4398
422	3219	4391
423	3227	4384
424	3235	4377
425	3243	4370
426	3251	4362
427	3258	4355
428	3265	4346
429	3272	4338
430	3279	4330
431	3286	4321
432	3294	4314
433	3302	4306
434	3310	4299
435	3318	4292
436	3325	4283
437	3331	4274
438	3338	4266
439	3346	4259
440	3353	4251
441	3361	4243
442	3369	4236
443	3376	4227
444	3384	4220
445	3392	4213
446	3399	4205
447	3407	4198
448	3414	4189
449	3421	4181
450	3428	4173
451	3435	4165
452	3443	4157
453	3450	4149
454	3456	4140
455	3463	4131
456	3470	4123
457	3477	4115
458	3485	4107
459	3492	4099
460	3499	4091
461	3506	4083
462	3513	4075
463	3521	4067
464	3528	4059
465	3536	4052
466	3543	4044
467	3551	4036
468	3558	4029
469	3566	4021
470	3573	4013
471	3581	4006
472	3589	3999
473	3597	3991
474	3604	3983
475	3611	3976
476	3619	3968
477	3626	3960
478	3633	3952
479	3641	3944
480	3649	3937
481	3656	3929
482	3664	3921
483	3670	3913
484	3678	3905
485	3685	3898
486	3693	3890
487	3700	3882
488	3707	3874
489	3715	3866
490	3722	3859
491	3729	3851
492	3737	3843
493	3744	3835
494	3751	3827
495	3759	3819
496	3765	3811
497	3773	3803
498	3780	3795
499	3789	3789
500	3799	3783
501	3806	3776
502	3813	3768
503	3821	3760
504	3829	3753
505	3836	3745
506	3844	3738
507	3851	3730
508	3859	3722
509	3866	3715
510	3874	3707
511	3882	3700
512	3890	3692
513	3896	3684
514	3904	3676
515	3910	3668
516	3918	3660
517	3925	3652
518	3933	3645
519	3941	3638
520	3949	3630
521	3956	3623
522	3963	3615
523	3970	3607
524	3978	3600
525	3987	3592
526	3995	3585
527	4002	3577
528	4009	3569
529	4016	3561
530	4023	3553
531	4030	3545
532	4037	3537
533	4045	3530
534	4052	3522
535	4060	3515
536	4068	3507
537	4075	3499
538	4082	3491
539	4090	3484
540	4097	3476
541	4105	3468
542	4111	3460
543	4118	3452
544	4127	3446
545	4135	3438
546	4143	3431
547	4151	3424
548	4159	3416
549	4166	3409
550	4175	3402
551	4183	3395
552	4191	3388
553	4199	3380
554	4206	3373
555	4214	3365
556	4222	3358
557	4230	3350
558	4237	3343
559	4245	3335
560	4253	3328
561	4261	3320
562	4268	3313
563	4276	3305
564	4283	3297
565	4290	3290
566	4297	3282
567	4304	3274
568	4311	3265
569	4318	3258
570	4327	3251
571	4334	3243
572	4342	3235
573	4349	3227
574	4357	3220
575	4365	3213
576	4372	3205
577	4380	3197
578	4388	3190
579	4395	3183
580	4403	3175
581	4410	3167
582	4417	3160
583	4425	3152
584	4432	3144
585	4439	3136
586	4447	3128
587	4454	3121
588	4461	3113
589	4469	3105
590	4476	3098
591	4483	3090
592	4490	3082
593	4497	3074
594	4504	3066
595	4511	3058
596	4519	3050
597	4526	3043
598	4533	3035
599	4542	3028
600	4549	3020
601	4558	3013
602	4565	3005
603	4574	2999
604	4582	2991
605	4590	2984
606	4598	2976
607	4607	2970
608	4615	2963
609	4622	2955
610	4630	2947
611	4637	2939
612	4644	2932
613	4651	2924
614	4659	2916
615	4667	2909
616	4674	2901
617	4681	2893
618	4688	2885
619	4695	2877
620	4702	2870
621	4709	2862
622	4717	2854
623	4724	2846
624	4731	2838
625	4739	2831
626	4746	2823
627	4754	2816
628	4761	2808
629	4768	2800
630	4775	2792
631	4783	2785
632	4790	2777
633	4798	2770
634	4805	2762
635	4813	2754
636	4820	2747
637	4827	2739
638	4834	2731
639	4842	2723
640	4850	2716
641	4857	2708
642	4864	2701
643	4872	2693
644	4879	2685
645	4887	2678
646	4894	2670
647	4901	2662
648	4908	2654
649	4916	2647
650	4923	2639
651	4930	2631
652	4938	2624
653	4946	2616
654	4953	2609
655	4960	2601
656	4968	2593
657	4975	2586
658	4983	2578
659	4990	2571
660	4998	2563
661	5005	2555
662	5014	2548
663	5021	2540
664	5029	2533
665	5036	2526
666	5044	2518
667	5052	2510
668	5059	2503
669	5067	2495
670	5074	2487
671	5081	2480
672	5089	2472
673	5095	2464
674	5102	2456
675	5112	2450
676	5120	2442
677	5128	2435
678	5135	2427
679	5143	2420
680	5150	2412
681	5158	2405
682	5165	2397
683	5172	2389
684	5180	2382
685	5187	2374
686	5195	2367
687	5203	2359
688	5212	2352
689	5219	2345
690	5226	2337
691	5234	2329
692	5241	2321
693	5248	2314
694	5255	2306
695	5263	2298
696	5270	2291
697	5276	2283
698	5284	2275
699	5291	2267
700	5298	2260
701	5305	2252
702	5313	2244
703	5320	2237
704	5327	2229
705	5335	2221
706	5342	2214
707	5350	2206
708	5357	2199
709	5365	2191
710	5373	2183
711	5380	2176
712	5387	2168
713	5395	2161
714	5403	2153
715	5409	2145
716	5417	2138
717	5424	2130
718	5431	2122
719	5438	2115
720	5446	2107
721	5454	2100
722	5461	2092
723	5469	2084
724	5477	2077
725	5484	2070
726	5492	2062
727	5499	2054
728	5507	2047
729	5513	2039
730	5520	2031
731	5527	2023
732	5535	2016
733	5541	2008
734	5549	2000
735	5556	1993
736	5564	1985
737	5571	1978
738	5578	1970
739	5586	1962
740	5593	1955
741	5601	1947
742	5609	1940
743	5616	1932
744	5624	1925
745	5632	1917
746	5639	1909
747	5646	1902
748	5653	1894
749	5661	1887
750	5669	1879
751	5677	1872
752	5684	1864
753	5692	1857
754	5699	1849
755	5706	1841
756	5713	1834
757	5721	1826
758	5728	1818
759	5736	1811
760	5743	1803
761	5750	1796
762	5757	1788
763	5764	1780
764	5771	1773
765	5778	1765
766	5785	1757
767	5793	1749
768	5801	1742
769	5808	1734
770	5816	1727
771	5823	1720
772	5831	1712
773	5838	1704
774	5846	1697
775	5853	1689
776	5861	1682
777	5868	1674
778	5875	1666
779	5882	1659
780	5890	1651
